Marca,Modelo,Motor,Referencia_OEM,Potencia_kW_CV,Año_Rango,Filtro_Aire,Filtro_Aceite,Filtro_Combustible,Cod_Filtro_Habitaculo,Tipo_Filtro_Habitaculo
FORD,GENERAL,2.2 TDCi,CVFF,114 (155),04/12-04/18,C 35 009 / C 33 156,HU 711/51 x,PU 12 003/1 z / W 7050 / P 716,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
HONDA,City,1.4 VTEC,L13Z1,73 (100),12/08 ©,,,W 610/6,CU 1835 / CU 21 003 / FP 21 003,Partículas / Partículas / Biofuncional
HONDA,LDA1,1.7 CTDi,"D17A6, D17Z2",74 (100),02/02-09/05,C 3132,HU 820 x,WK 853/16 / W 610/6 / W 610/6 / W 610/6 / W 610/6,,
HONDA,LDA1,2.0 Type-R,K20A2,147 (200),07/01-09/05,C 1430 / C 1430,,W 610/6 / W 610/6,,
HONDA,LDA2,"1.4 VTEC (FK, FN)",L13Z1,73 (100),01/09 ©,C 19 010 / C 20 003 / C 2240 / C 28 023,,W 610/6 / W 610/6 / W 610/6 / W 610/6,,
HONDA,LDA2,"2.2 CTDi (FN, FK)",N22A2,103 (140),01/06 ©,C 31 005,HU 712/9 x,,,
TOYOTA,Allion III,2.4 Hybrid (H2),,110 (150),12/11-12/14,C 26 003 / C 26 003 / C 24 150 / C 24 150,HU 7019 z / HU 7019 z / HU 7019 z / HU 7019 z,W 610/9,CU 22 032 / CUK 22 032 / FP 22 032,Partículas / Carbón Activo / Biofuncional
TOYOTA,Allion III,2.5 Hybrid (H3),,112 (152),02/15 ©,C 24 150 / C 24 150 / C 24 150,HU 7019 z / HU 7019 z / HU 7019 z / HU 7019 z,,CU 22 032 / CUK 22 032 / FP 22 032 / CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional / Partículas / Carbón Activo / Biofuncional
TOYOTA,Alphard I,"3.0 V6 (MNH10W, MNH15W)",,162 (220),09/03-03/08,C 32 003,,W 712/83,CUK 2226,Carbón Activo
TOYOTA,Auris I (E150),1.33 VVT,,74 (101),05/09-12/18,C 24 005 / C 24 005,HU 6006 z,W 68/3,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,Auris I (E150),1.4 D-4D,,77 (105),02/07-12/18,C 27 013 / C 24 005 / C 24 005 / C 24 005,HU 7019 z / HU 6006 z,W 712/83 / WK 8028 z / W 68/3 / W 68/3,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,Auris I (E150),1.6 VVT-i,,91 (124),02/07-09/12,C 24 005 / C 24 005 / C 24 005,HU 6006 z / HU 6006 z / HU 6006 z,W 68/3,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,Auris I (E150),1.8 Hybrid,,,09/10-09/12,C 22 009,HU 6006 z,,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,Auris I (E150),2.0 D-4D,,93 (126),02/07-04/15,C 27 013,HU 7009 z,WK 8028 z,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,Auris I (E150),2.2 D-4D,,130 (177),02/07-09/12,C 27 013,HU 7009 z,WK 8028 z,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,3.5 V6 (XV40),,204 (277),01/06-09/11,C 26 003 / C 30 009 / C 30 009,HU 7019 z / HU 7019 z / HU 7019 z,W 610/9,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,2.5 Hybrid (XV50),,115 (157),08/11-09/17,,HU 7019 z / HU 7019 z,,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,3.5 V6 (XV50),,204 (277),09/11-09/17,C 22 039,HU 7019 z / HU 7019 z / HU 7019 z,W 6031 / W 6031,CU 22 032 / CUK 22 032 / FP 22 032,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,2.5 Hybrid (XV70),,131 (178),09/17 ©,C 27 063,,W 6031,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,2.5 Hybrid (XV70),,160 (218),09/17 ©,C 27 063,HU 7019 z / HU 7019 z,W 6031,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,1.33 VVT,,74 (101),10/08-07/14,C 24 005 / C 24 005 / C 24 005 / C 24 005,HU 6006 z / HU 6006 z / HU 6006 z,W 68/3 / W 68/3,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,1.6 VVTi,,100 (136),03/07-12/10,C 24 005,HU 6006 z,W 68/3,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,1.6 VVTI (ZZE141),2ZRFE,80 (109),08/07-06/13,C 2620 / C 24 005 / C 24 005 / C 24 005,HU 6006 z / HU 6006 z,W 68/3 / W 68/3 / W 68/3,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,2.0 D-4D,,93 (126),04/07-07/14,C 27 013,HU 7009 z,WK 8028 z,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,2.2 D-4D,,130 (177),02/07 ©,C 27 013,HU 7009 z,WK 8028 z,CU 1919 / CUK 1919 / FP 1919,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,2.4 D (GUN125 / 135),,125 (170),10/18 ©,C 33 017,,W 712/83,CU 22 032 / CUK 22 032 / FP 22 032,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,2.5 D (KUN135),,106 (144),05/15 ©,C 23 107 / C 33 017,,W 712/83 / W 712/83,CU 22 032 / CUK 22 032 / FP 22 032,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,2.8 D (GUN126),,130 (177),05/15 ©,C 33 017,,W 712/83,CU 22 032 / CUK 22 032 / FP 22 032,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,2.8 D 4WD (GUN126),,150 (204),06/20 ©,C 33 017 / C 34 003,,W 712/83 / W 68/3,CU 28 004,Partículas
TOYOTA,GENERAL,1.33 VVT,,,07/09-12/15,C 34 003,HU 6006 z,,CU 22 032 / CUK 22 032 / FP 22 032,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,1.4 D-4D,,,01/09-12/15,C 3088/1,HU 7019 z,WK 720/2 x,CU 22 032 / CUK 22 032 / FP 22 032,Partículas / Carbón Activo / Biofuncional
TOYOTA,GENERAL,1.5 Hybrid (NHW20),,82 (112),09/03-12/09,C 29 002 / C 22 009,HU 6006 z,W 68/3,CU 2131 / CUK 2131 / FP 2131 / CU 1919 / CUK 1919 / FP 1919 / FP 22 032 / CU 22 032 / CUK 22 032,Partículas / Carbón Activo / Biofuncional / Partículas / Carbón Activo / Biofuncional / Biofuncional / Partículas / Carbón Activo
TOYOTA,GENERAL,1.8 Hybrid (ZVW35),,,01/12 ©,C 22 009,HU 6006 z,,CU 2131 / CUK 2131 / FP 2131 / CU 1919 / CUK 1919 / FP 1919 / FP 22 032 / CU 22 032 / CUK 22 032,Partículas / Carbón Activo / Biofuncional / Partículas / Carbón Activo / Biofuncional / Biofuncional / Partículas / Carbón Activo
TOYOTA,GENERAL,1.8 Hybrid (ZVW40),,100 (136),05/11 ©,C 22 009,HU 6006 z,,CU 2131 / CUK 2131 / FP 2131 / CU 1919 / CUK 1919 / FP 1919 / FP 22 032 / CU 22 032 / CUK 22 032,Partículas / Carbón Activo / Biofuncional / Partículas / Carbón Activo / Biofuncional / Biofuncional / Partículas / Carbón Activo
TOYOTA,GENERAL,1.8 Hybrid (ZVW50/52),,90 (122),11/15 ©,C 17 008,HU 6006 z,W 68/3,CU 2131 / CUK 2131 / FP 2131 / CU 1919 / CUK 1919 / FP 1919 / FP 22 032 / CU 22 032 / CUK 22 032,Partículas / Carbón Activo / Biofuncional / Partículas / Carbón Activo / Biofuncional / Biofuncional / Partículas / Carbón Activo
TOYOTA,GENERAL,2.0 PHEV (_W6_),,164 (223),01/23 ©,C 18 021,,W 6031,CU 2131 / CUK 2131 / FP 2131 / CU 1919 / CUK 1919 / FP 1919 / FP 22 032 / CU 22 032 / CUK 22 032,Partículas / Carbón Activo / Biofuncional / Partículas / Carbón Activo / Biofuncional / Biofuncional / Partículas / Carbón Activo
VW (VOLKSWAGEN),Amarok (2H),2.0 TDI (2H),CDCA,120 (163),01/10-08/12,C 32 013 / C 32 010,HU 7008 z,WK 10 034 z / WK 9016,CU 2842 / CUK 2842 / FP 2842,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Amarok (2H),2.0 TDI (2H),"CDBA, CNFA",90 (122),01/10-10/13,C 32 013 / C 32 010,HU 7008 z,WK 10 034 z / WK 9016,CU 2842 / CUK 2842 / FP 2842,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Amarok (2H),2.0 TDI (2H),"CNEA, CSHA",132 (179),09/11-07/19,C 32 013 / C 32 010,HU 7008 z,WK 10 034 z / WK 9016,CU 2842 / CUK 2842 / FP 2842,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Amarok (2H),2.0 TDI (2H),CNFB,103 (140),07/12-10/16,C 32 013 / C 32 010,HU 7008 z,WK 10 034 z / WK 9016,CU 2842 / CUK 2842 / FP 2842,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Amarok (2H),2.0 TFSI (2H),CFPA,118 (160),12/10-10/16,C 32 013 / C 32 010,,W 719/45 / WK 69,CU 2842 / CUK 2842 / FP 2842,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Amarok (2H),3.0 TDI V6 (2H),DDXE,190 (258),05/18 ©,C 32 013 / C 32 010,HU 7012 z,WK 10 046 z,CU 2842 / CUK 2842 / FP 2842,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Amarok (2H),3.0 TDI V6 (2H),DDXA,120 (163),06/16 ©,C 32 013 / C 32 010,HU 7012 z,WK 10 046 z,CU 2842 / CUK 2842 / FP 2842,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Amarok (2H),3.0 TDI V6 (2H),DDXB,150 (204),06/16 ©,C 32 013 / C 32 010,HU 7012 z,WK 10 046 z,CU 2842 / CUK 2842 / FP 2842,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Amarok (2H),3.0 TDI V6 (2H),DDXC,165 (224),06/16 ©,C 32 013 / C 32 010,HU 7012 z,WK 10 046 z,CU 28 009 / CUK 28 009 / FP 28 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Amarok (2H),"2.0 TDI (T1A, T1B)",,,,,,,CU 2842 / CUK 2842 / FP 2842,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Ameo,1.5 TDI (630),CWXC,81 (110),08/16 ©,,HU 7008 z,,CU 26 010 / CUK 26 010 / FP 26 010,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),1.4 TSI eHybrid (3H),DGEB,115 (156),11/20 ©,C 27 009,,W 712/95,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),1.5 TSI (3H),"DADA, DPCA",110 (150),11/17 ©,C 28 043,,W 712/95,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),2.0 TDI,"DSRA, DSRB, DTSA, DTSB",110 (150),09/20 ©,C 30 005 / C 30 004,HU 7020 z,PU 8014 / PU 8028,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),2.0 TDI,DTUA,147 (200),09/20 ©,C 30 005 / C 30 004,HU 5003 z,PU 8014 / PU 8028,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),2.0 TDI (3H),CRGA,130 (177),11/17-07/20,C 30 005 / C 30 004,HU 7020 z,PU 8014 / PU 8028,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),2.0 TDI (3H),DFHA,140 (190),05/17 ©,C 38 002 / C 38 003,HU 7020 z,PU 8014 / PU 8028,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),2.0 TDI (3H),CUAA,176 (240),04/17-07/20,C 38 002 / C 38 003,HU 7020 z,PU 8014 / PU 8028,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),2.0 TDI (3H),"DBGA, DFGA",110 (150),04/17 ©,C 30 005 / C 30 004,HU 7020 z,PU 8014 / PU 8028,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),2.0 TSI (3H),"DLRB, DNUA",200 (272),09/18 ©,C 30 005,HU 6013 z,,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),2.0 TSI (3H),"CZPB, DKZA, DNNA, DUNA",140 (190),04/17 ©,C 30 005,HU 6013 z,,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),2.0 TSI (3H),DJHC,206 (280),04/17 ©,C 30 005,HU 6013 z,,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),2.0 TSI R (3H),DNFG,235 (320),11/20 ©,C 30 005,HU 6013 z / H 6003 z,,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),1.2 TSI (5C),"CBZB, CYVD",77 (105),10/11-07/19,C 14 130 / C 14 130/1,,W 712/94 / WK 69,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),1.2 TSI (5C),CYVD,77 (105),10/11-07/19,C 27 009,,W 712/95 / WK 69,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),1.4 TSI (5C),"CAVD, CTHD, CTKA",118 (160),10/11-12/16,C 35 154 / C 35 154/1,,W 712/94 / WK 69,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),1.4 TSI (5C),CZDA,110 (150),12/14-07/19,C 27 009,,W 712/95 / WK 69,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),1.6 TDI (5C),CAYC,77 (105),10/11-07/16,C 35 154 / C 35 154/1,HU 7008 z,PU 825 x,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),1.8 TSI (5C),"CPKA, CPRA",125 (170),08/13-07/17,C 35 154,HU 6013 z,WK 69,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),2.0 TDI (5C),CUUA,81 (110),06/14-09/18,C 35 154 / C 35 154/1,HU 7020 z,PU 8028,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),Arteon (3H),2.0 TDI (5C),"CVCA, CUUB, DELA",110 (150),07/14-09/18,C 35 154 / C 35 154/1,HU 7020 z,PU 8028 / PU 8014,CU 26 009 / CUK 26 009 / FP 26 009,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,2.0 TDI (5C),"CFFB, CJAA",103 (140),04/12-07/16,C 35 154 / C 35 154/1,HU 7008 z / HU 719/7 x,PU 936/3 x,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,2.0 TSI (5C),"CPLA, CPPA",155 (210),12/12-07/19,C 35 154 / C 35 154/1,HU 6013 z,WK 69,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,2.0 TSI (5C),CULC,162 (220),12/14-09/18,C 35 154,HU 6013 z,WK 69,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,2.0 TSI (5C),"CBFA, CCTA, CCZA",147 (200),10/11-07/16,C 35 154 / C 35 154/1,,W 719/45 / WK 69,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,2.0 TSI (5C),DDSA,130 (177),07/17-07/19,C 35 154/1,HU 6013 z,,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,2.5 V5 (5C),"CBTA, CBUA, CCCA",125 (170),10/11-07/19,C 43 102 / C 4287/2 / C 4287/1 / C 37 153 / C 37 153/1 / C 37 153 / C 37 153/1 / C 4287/2 / C 2998/5 x,HU 719/6 x / H 2019 KIT,WK 69/2 / W 712/52 / WK 730/1 / W 719/30 / WK 730/1 / W 719/30 / WK 730/1 / W 712/52 / WK 730/1,CUK 2862 / FP 2862,Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"1.6 FSI (1J2,1J6)",,81 (110),01/02-05/05,C 37 153 / C 37 153 / C 37 153/1,,W 712/52 / WK 730/1 / W 719/30 / WK 730/1,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"1.8 T 20V (1J2,1J6)",,110 (150),10/00-05/05,C 37 153 / C 37 153/1,,W 719/30 / WK 730/1,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"1.8 Turbo Sport Edition (1J2,1J6)",,132 (180),03/02-05/05,C 37 153 / C 37 153/1,,W 719/30 / WK 730/1,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"1.9 SDI (1J2,1J6)",,,05/99-05/05,C 37 153 / C 37 153/1,HU 726/2 x,WK 853/3 x,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"1.9 TDI (1J2,1J6)",,74 (101),10/00-05/05,C 37 153 / C 37 153/1,HU 726/2 x,WK 853/3 x,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"1.9 TDI (1J2,1J6)",,110 (150),10/00-05/05,C 37 153,HU 726/2 x,WK 853/3 x,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"1.9 TDI (1J2,1J6)",,96 (130),04/01-05/05,C 37 153 / C 37 153/1 / C 37 153 / C 37 153/1,HU 726/2 x,WK 853/3 x / W 719/30 / WK 730/1,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"2.8 V6 24V (1J2,1J6)",,150 (204),04/99-05/05,C 37 153 / C 37 153/1 / C 2873/1 / C 1955-2 / C 4287/1,HU 719/7 x,WK 730/1 / W 712/52 / WK 613 / W 712/52 / WK 613,CU 2882 / CUK 2882 / FP 2882,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.6 Pickup (9U7),,,06/96-02/04,C 28 136/1 / C 28 136/2,,W 712/52 / WK 613,CU 2882 / CUK 2882 / FP 2882,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.7 SDI (9K9),,,07/96-02/04,C 28 136/2,,W 940/25 / WK 841,CU 2882 / CUK 2882 / FP 2882,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.9 SD / SDI (9K9),,,11/95-02/04,C 28 136/1 / C 28 136/2 / C 37 132,HU 726/2 x,W 940/25 / WK 841 / WK 823,CU 2882 / CUK 2882 / FP 2882,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.9 SDI Pickup (9U7),,,06/96-02/04,C 28 136/1 / C 28 136/2,,W 920/8 / WK 841,CU 2882 / CUK 2882 / FP 2882,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.9 TDI (9K9),,,09/96-02/04,C 28 136/1 / C 37 132 / C 28 136/2,HU 726/2 x / H 6003 z,W 940/25 / WK 841 / WK 823,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.2 TSI (2C),CBZA,,09/10-06/15,C 14 130 / C 14 130/1,,W 712/94 / WK 69,CU 2882 / CUK 2882 / FP 2882,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.2 TSI (2C),CBZB,77 (105),09/10-06/15,C 14 130 / C 14 130/1 / C 2998/5 x / C 3880 / C 14 130 / C 14 130/1 / C 14 130 / C 14 130/1,,W 712/94 / WK 69 / W 712/52 / WK 69/2 / WK 59 x / W 712/52 / WK 69/2 / W 719/30 / WK 69/2 / W 719/30 / WK 69/2 / WK 59 x,CU 2882 / CUK 2882 / FP 2882,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.6 TDI (2C),CAYD,75 (102),09/10-06/15,C 35 154 / C 35 154/1,HU 7008 z,PU 936/3 x / PU 825 x,CU 2882 / CUK 2882 / FP 2882,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.6 TDI (2C),CAYE,,09/10-06/15,C 35 154 / C 35 154/1,HU 7008 z,PU 936/3 x / PU 825 x,CU 2882 / CUK 2882 / FP 2882,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"1.9 TDI (2KA, 2KB, 2KH, 2KJ)",,,09/05-12/10,C 35 154 / C 35 154/1,HU 719/7 x,PU 936/4 x / PU 936/3 x / PU 825 x,CU 2882 / CUK 2882 / FP 2882,Partículas / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"1.9 TDI (2KA, 2KB, 2KH, 2KJ)",,77 (105),02/04-12/10,C 35 154 / C 35 154/1,HU 719/7 x,PU 936/3 x / PU 936/4 x / PU 825 x,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"2.0 EcoFuel (2KA, 2KB, 2KH, 2KJ, 2C)",,80 (109),04/06-06/15,C 14 130 / C 14 130/1,,W 719/30 / WK 69/2,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"2.0 SDI (2KA, 2KB, 2KH, 2KJ)",,,02/04-12/10,C 14 130 / C 14 130/1,HU 719/7 x,PU 936/3 x / PU 936/4 x / PU 825 x,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,2.0 TDI (2C),CFHC,103 (140),09/10-06/15,C 35 154 / C 35 154/1,HU 7008 z,PU 825 x,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,2.0 TDI (2C),CFHE,,09/10-06/15,C 35 154 / C 35 154/1,HU 7008 z,PU 825 x,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,2.0 TDI (2C),"CFHF, CLCA",81 (110),09/10-06/15,C 35 154 / C 35 154/1,HU 7008 z,PU 825 x,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,2.0 TDI (2C),CFJA,125 (170),05/12-06/15,C 35 154 / C 35 154/1,HU 7008 z,PU 825 x,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,"2.0 TDI (2KA, 2KB, 2KH, 2KJ)",,103 (140),09/07-12/10,C 35 154 / C 35 154/1,HU 719/7 x / H 6003 z,PU 825 x,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.0 TSI,DKRD,,11/18 ©,C 22 035,,W 712/95,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.0 TSI,CHZG,75 (102),11/15 ©,C 22 035,,W 712/95 / WK 69/2 / WK 69,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.2 TSI,CYVC,,06/15 ©,C 27 009,,W 712/95 / WK 69/2 / WK 69,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
VW (VOLKSWAGEN),GENERAL,1.4 TGI CNG,CPWA,81 (110),06/15 ©,C 27 009,,W 712/95 / WK 69/2,CU 2939 / CUK 2939 / FP 2939 / CUK 2939/1 / FP 2939/1,Partículas / Carbón Activo / Biofuncional / Carbón Activo / Biofuncional
